Tumor type	Number of patients
Liver-HCC	314
Panc-AdenoCa	232
Prost-AdenoCa	199
Breast-AdenoCa	195
Kidney-RCC	143
CNS-Medullo	141
Ovary-AdenoCa	110
Skin-Melanoma	107
Lymph-BNHL	105
Eso-AdenoCa	97
Lymph-CLL	90
CNS-PiloAstro	89
Panc-Endocrine	81
Stomach-AdenoCa	68
Head-SCC	56
ColoRect-AdenoCa	52
Thy-AdenoCa	48
Lung-SCC	47
Uterus-AdenoCa	44
Kidney-ChRCC	43
Bone-Osteosarc	41
CNS-GBM	39
Lung-AdenoCa	37
Biliary-AdenoCa	34
Bone-Leiomyo	34
Bladder-TCC	23
Myeloid-MPN	23
CNS-Oligo	18
Cervix-SCC	18
Breast-LobularCa	13
Myeloid-AML	13
Bone-Epith	11
Bone-Cart	9
Breast-DCIS	3
Cervix-AdenoCa	2
Lymph-NOS	2
Myeloid-MDS	2
Carcinoma	1856
Adenocarcinoma	1631
Digestive_tract	797
Female_reproductive_tract	382
CNS	287
Hematopoietic_system	235
Breast	208
Lymphatic_system	197
Kidney	186
Glioma	146
Squamous	121
Sarcoma	95
Lung	84
Myeloid	38
Pancan-no-skin-melanoma-lymph	2278
